# Particle centroids in pixel units
# Particle radii - half of the average of the major and minor diameters of an ellipse fit to the particle area
# total particles: 3676
# mean radius: 3.2 Std.Dev. 0.14 (nm), 9.3 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
8.1267e+02	7.2498e+01	3.3457e+00
1.2539e+03	7.4352e+01	3.2529e+00
5.1303e+02	7.5266e+01	3.4844e+00
5.3858e+02	7.4520e+01	3.3099e+00
7.6211e+02	7.5024e+01	3.4427e+00
1.0094e+03	7.4558e+01	2.5131e+00
4.5539e+01	7.6614e+01	3.2343e+00
7.4786e+01	7.5830e+01	3.2940e+00
2.5452e+02	7.8116e+01	3.1072e+00
2.8124e+02	7.6358e+01	3.3529e+00
4.8529e+02	7.6522e+01	3.4027e+00
9.8520e+02	7.6617e+01	3.4999e+00
1.4796e+01	7.8690e+01	4.4386e+00
4.5815e+02	7.7581e+01	3.2064e+00
7.1014e+02	7.8248e+01	3.2457e+00
7.3600e+02	7.8483e+01	3.3647e+00
1.3220e+03	8.0237e+01	3.5765e+00
2.2734e+02	7.8668e+01	3.3833e+00
9.5956e+02	7.8243e+01	3.5619e+00
1.2277e+03	7.7456e+01	3.0733e+00
1.3557e+03	7.5026e+01	4.3976e+00
6.8509e+02	8.0041e+01	3.2447e+00
1.1348e+03	7.8192e+01	3.1204e+00
1.9930e+02	8.0278e+01	3.2941e+00
4.0351e+02	8.1618e+01	3.2908e+00
4.2922e+02	8.0301e+01	3.3154e+00
6.5800e+02	8.1020e+01	3.1802e+00
9.0498e+02	8.1076e+01	3.1283e+00
1.1052e+03	7.9058e+01	3.0767e+00
1.1910e+03	8.3116e+01	6.3563e+00
3.7622e+02	8.2828e+01	3.5088e+00
9.3210e+02	8.1223e+01	3.2202e+00
1.0788e+03	8.1177e+01	3.0796e+00
6.0526e+02	8.3291e+01	3.1875e+00
6.3149e+02	8.1779e+01	3.0133e+00
8.7937e+02	8.3373e+01	3.3726e+00
1.7193e+02	8.3318e+01	3.1265e+00
5.7944e+02	8.4740e+01	3.2886e+00
1.2952e+03	8.3622e+01	3.4368e+00
8.2672e+02	8.4801e+01	2.9261e+00
8.5206e+02	8.4399e+01	3.4695e+00
1.0539e+03	8.4104e+01	2.9936e+00
1.1721e+03	8.4473e+01	2.7186e+00
1.4469e+02	8.4930e+01	3.3582e+00
3.4965e+02	8.5922e+01	3.3613e+00
1.0266e+03	8.4676e+01	3.1298e+00
1.1643e+02	8.6606e+01	3.3364e+00
8.0126e+02	8.6932e+01	3.3897e+00
8.8634e+01	8.7962e+01	3.2211e+00
3.2326e+02	8.6771e+01	2.9732e+00
5.5209e+02	8.7291e+01	3.2158e+00
5.2677e+02	8.8667e+01	3.0696e+00
1.2424e+03	8.9528e+01	3.6184e+00
6.1209e+01	8.9296e+01	3.4283e+00
5.0018e+02	8.9898e+01	3.1788e+00
7.7586e+02	8.8636e+01	3.1008e+00
9.9741e+02	8.9643e+01	2.8064e+00
1.1493e+03	8.8613e+01	2.9641e+00
1.2689e+03	8.7037e+01	3.1841e+00
3.3282e+01	9.0905e+01	3.3635e+00
2.6885e+02	9.0046e+01	3.2001e+00
2.9715e+02	8.9225e+01	3.5479e+00
9.7261e+02	9.0915e+01	3.0214e+00
2.4103e+02	9.1249e+01	3.1000e+00
4.7209e+02	9.1304e+01	3.1774e+00
1.1180e+03	9.1116e+01	3.0567e+00
1.2153e+03	9.2716e+01	3.4676e+00
2.1405e+02	9.3879e+01	3.3218e+00
7.5017e+02	9.2008e+01	3.2028e+00
4.4536e+02	9.2502e+01	3.2381e+00
6.4529e+02	9.4082e+01	3.5579e+00
6.9822e+02	9.3294e+01	3.2476e+00
7.2389e+02	9.3120e+01	3.2849e+00
1.8643e+02	9.4539e+01	3.1653e+00
4.1715e+02	9.4706e+01	3.2385e+00
9.4713e+02	9.3772e+01	3.1037e+00
1.0934e+03	9.3690e+01	3.0921e+00
1.3530e+03	9.8194e+01	6.9552e+00
6.7271e+02	9.4976e+01	3.4257e+00
8.6691e+02	9.7646e+01	3.1165e+00
9.1865e+02	9.4976e+01	3.3644e+00
3.9076e+02	9.6391e+01	3.0814e+00
6.1912e+02	9.7051e+01	3.4143e+00
1.3084e+03	9.5981e+01	3.2793e+00
1.3201e+02	9.8204e+01	3.4165e+00
8.9283e+02	9.7026e+01	3.2676e+00
1.0652e+03	9.7698e+01	2.8620e+00
1.5998e+02	9.8047e+01	3.4455e+00
5.9345e+02	9.8782e+01	3.1400e+00
3.3728e+02	9.9632e+01	3.0806e+00
3.6345e+02	9.8303e+01	3.3538e+00
1.2595e+03	9.9936e+01	2.5277e+00
1.2827e+03	9.9011e+01	3.2122e+00
5.4012e+02	1.0113e+02	3.0909e+00
5.6594e+02	1.0065e+02	3.2894e+00
8.1527e+02	1.0038e+02	3.2887e+00
8.4102e+02	9.9603e+01	3.3993e+00
1.0102e+03	1.0018e+02	3.3559e+00
1.0403e+03	9.9967e+01	3.4627e+00
7.5990e+01	1.0187e+02	3.3725e+00
1.0346e+02	1.0136e+02	3.1059e+00
2.8390e+02	1.0191e+02	3.1395e+00
7.8982e+02	1.0167e+02	3.2743e+00
1.1613e+03	1.0118e+02	3.3399e+00
4.8579e+01	1.0305e+02	3.2737e+00
2.5524e+02	1.0382e+02	3.4328e+00
3.1153e+02	1.0143e+02	3.2343e+00
5.1416e+02	1.0256e+02	3.1352e+00
9.8429e+02	1.0235e+02	3.2719e+00
1.1342e+03	1.0322e+02	3.3849e+00
4.8710e+02	1.0407e+02	3.3339e+00
7.6407e+02	1.0424e+02	3.1885e+00
1.5994e+01	1.0569e+02	4.5370e+00
4.5951e+02	1.0515e+02	3.4333e+00
9.6145e+02	1.0535e+02	2.9993e+00
1.1069e+03	1.0567e+02	3.2633e+00
2.0370e+02	1.0757e+02	3.1230e+00
2.2992e+02	1.0630e+02	3.3267e+00
4.3288e+02	1.0645e+02	3.2572e+00
7.3800e+02	1.0651e+02	3.0830e+00
1.2298e+03	1.0512e+02	3.0711e+00
6.5921e+02	1.0867e+02	3.2145e+00
6.8668e+02	1.0778e+02	3.1332e+00
9.3412e+02	1.0716e+02	2.9161e+00
